name,description,enquete,attack,defence,other,linkTable_power_types__name->link_power_type__power_type_id
Biwa Hōshi (琵琶法師) – Conteur aveugle itinérant,", chantant les épopées avec son biwa",2,0,-1,,Metier
Shihan (師範) – Maître instructeur,", en arts martiaux ou lettrés, formant les jeunes samouraïs du domaine",0,1,1,,Metier
Kōsaku (工作) – Saboteur,", expert en pièges et manipulations de terrain",0,1,1,,Metier
Kuro-hatamoto (黒旗本) – Garde d’élite,", en mission secrète, loyal au daimyō",0,1,1,,Metier
Monomi (物見) – Éclaireur,", ou observateur posté en avant-garde",0,1,1,,Metier
Ninja-kahō (忍者家法) – Membre d’une lignée de ninjas,", liés par serment au daimyō",0,1,1,,Metier
Sodegarami (袖搦) – Garde spécialisé,", dans l’arrestation à l’aide d’armes non létales",0,1,1,,Metier
Hitokiri (人斬り) – Assassin redouté au sabre,", exécuteur discret souvent marqué par la vengeance",0,1,1,,Metier
Nyūdō (入道) – Samouraï retiré,", dans la voie monastique, servant comme conseiller sage",-1,2,1,,Metier
Onna-bugeisha (女武芸者) – Femme samouraï,", entraînée au combat, parfois en charge de la garde rapprochée",-1,2,1,,Metier
Monogashira (物頭) – Officier en chef,", d’un détachement armé, chargé de la sécurité ou de missions spéciales",-1,2,1,,Metier
Sōhei (僧兵) – Moine-soldat,", à la fois religieux et combattant pour le temple ou le seigneur",-1,2,1,,Metier
Naishi (内侍) – Dame de compagnie,", au service de l’épouse ou des filles du daimyō",1,1,-1,,Metier
Shinobi (忍び) – Espion et agent furtif,", maître de l’infiltration, du sabotage ou de l’assassinat",1,1,-1,,Metier
Tsukai (使い) – Messager rapide,", souvent à cheval, transmettant des ordres urgents",1,1,-1,,Metier
Kagemusha (影武者) – Sosie du seigneur,", utilisé pour leurrer l’ennemi ou éviter les attentats",1,1,-1,,Metier
Yamabushi (山伏) – Moine-guerrier itinérant,", parfois employé comme éclaireur ou conseiller spirituel",1,1,-1,,Metier
Nusutto (盗人) – Voleur agile et rusé,", opérant dans l’ombre, parfois espion déguisé ou informateur",1,1,-1,,Metier
Sarugakushi (猿楽師) – Artiste de rue ou comédien,", mêlant satire, acrobaties et théâtre populaire",1,1,-1,,Metier
Kusushi (薬師) – Médecin itinérant,", spécialiste des remèdes traditionnels à base de plantes",1,1,-1,,Metier
Ishitsukai (医使) – Médecin de cour,", parfois moine ou alchimiste, pratiquant acupuncture et médecine spirituelle",1,1,-1,,Metier
Prêtre chrétien(司祭),missionnaire et guide spirituel,1,1,1,"{""on_recrutment"": {""action"": {""type"": ""go_traitor"", ""controller_lastname"": ""Miyoshi (三好)""}, ""origin_list"": ""12""}}",Metier
Marin européen (南蛮水夫),employé sur les vaisseaux noirs portugais ou français,1,1,1,"{""on_recrutment"": {""action"": {""type"": ""go_traitor"", ""controller_lastname"": ""Miyoshi (三好)""}, ""origin_list"": ""12, 13""}}",Metier
Reishi (霊師) – Médium ou exorciste,", intervenant lors de troubles spirituels",1,0,1,"{""on_recrutment"": {""action"": {""type"": ""go_traitor"", ""controller_lastname"": ""Jōdo-shinshū (浄土真宗)""}, ""origin_list"": ""7,9,10,11""}}",Metier
Hōshi (法師) – Moine bouddhiste itinérant,", parfois proche conseiller du daimyō",1,0,1,"{""on_recrutment"": {""action"": {""type"": ""go_traitor"", ""controller_lastname"": ""Tendai (天台宗)""}, ""origin_list"": ""1,2,3,4,5,8""}}",Metier
