name,description,enquete,attack,defence,other,linkTable_power_types__name->link_power_type__power_type_id
Katana (刀) – L’arme emblématique du samouraï,", symbole d’honneur et de rang, mais peu pratique pour les agents discrets",-1,2,1,,Hobby
Yumi (弓) — Grand arc asymétrique utilisé par les samouraïs,", redouté pour sa portée et sa précision à cheval comme à pied",-1,2,1,,Hobby
Yari (槍) — Lance droite à pointe effilée,", polyvalente en formation comme en duel, arme principale de nombreux ashigaru",-1,2,1,,Hobby
Naginata (薙刀) — Arme d’hast à lame courbe,", maniée avec grâce et puissance, souvent associée aux femmes guerrières ou aux moines",-1,2,1,,Hobby
Tetsubō (鉄棒) — Masse de guerre en fer,", capable d’écraser les armures, prisée par les moines-soldats",-1,2,1,,Hobby
Inrō (印籠) – Une petite boîte à la ceinture,", utilisée pour transporter des médicaments, du poison, ou de minuscules outils",1,1,-1,,Hobby
Kanzashi (簪) – Épingles à cheveux,", parfois dotées de fonctions symboliques ou défensives",1,1,-1,,Hobby
Yakuyō bako (薬用箱) – Boîte à remèdes,", contenant des plantes médicinales",1,1,-1,,Hobby
Shōyaku fukuro (生薬袋) – Sachets de plantes,", à infuser ou brûler à des fins curatives",1,1,-1,,Hobby
Zudabukuro (頭陀袋) – Une besace de pèlerin,", utile pour transporter discrètement messages, herbes médicinales ou objets de culte",1,1,-1,,Hobby
Kiseru (煙管) – Une pipe à tabac,", parfois modifiée pour dissimuler des messages roulés ou une poudre soporifique",1,1,-1,,Hobby
